Home,Road,line,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linesuper,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,lineatom,linedwig,linepiratings,linecather,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,vscore,hscore,week,actual,total,phcover,phwin
Fresno St.,Connecticut,28,28.33,23.39,8.93,28.45,16.24,22.34,28.33,19,25.13,14.5,28.33,7.71,25.31,28,19.71,14.8,-3,21.25,26.09,21.38,,5.08,,,0.79,21.31,9.97,28.33,24.94,26,25.5,30,16.03,15.41,26.5,,23.1,,21.1,27,,18.5,,,,3,20.2,29,,15,,27.5,4.5,14.97,28.94,9.25,0,45,1,45,45,0.3259014374,0.8583413123
Illinois,Nebraska,-6.5,-7.14,-8.2,-2.47,-5.01,-5.56,-2.77,-7.14,-5,-9.13,-3.5,-7.14,0.27,-6.43,-7,-5.27,-1.64,-8,-3.15,-11.38,-14.38,,1.33,,,-0.54,-5.11,-3.11,-7.14,-5.11,-2,-9.5,-6,-8.23,-0.71,-3.4,,-9.1,,-4,-6.5,,-9.5,,,,3,-3.8,-5,,-3.6,,-7,-8.5,-5.54,-7.74,3.33,22,30,1,8,52,0.5302239357,0.3726247471
New Mexico St.,UTEP,-9.5,-6.34,-5.43,5.62,0.01,-5.44,-17.43,-6.34,-10,-5.91,2.5,-6.34,-1.01,3.79,-10,-3.77,-1.4,1,-4.35,-13.34,1.81,,0.29,,,0.17,-4.6,-0.24,-6.34,-6.66,2,-9.5,1,1.79,-17.73,-5.3,,-6.7,,-4.7,-8.5,,1.15,,,,3,-4.5,-17,,-6.6,,-10,11,-1.45,-7.03,6.33,30,3,1,-27,33,0.6312947438,0.4127030086
UCLA,Hawaii,17.5,15.64,15.33,11.22,4.34,15.62,4.71,15.64,9,16.75,-3.5,15.64,2.51,14.48,14,13.51,13.14,-1,16.45,15.29,15.81,,3.63,,,-0.2,15.33,15.2,15.64,19.37,12,11,21,16.16,20.18,19.9,,22.3,,20.4,17,,20.05,,,,6,19.7,14,,7.3,,17.5,12.5,10.59,20.25,6.72,10,44,1,34,54,0.4084752783,0.7834052758
Appalachian St.,East Carolina,9,11.24,10.76,4.22,20.54,12.01,16.95,11.24,9,10.77,20.5,11.24,10.68,16.62,13.15,11.27,8.76,9,7.9,10.87,34.88,,11.67,,,0.99,11.24,8.49,11.24,15.44,9,13.5,11,19.66,9.97,6.2,,11.4,,5.7,9.5,12.46,13.45,,,,-1,5.2,2,,13,,9.5,12,8.58,11.6,4.73,19,33,2,14,52,0.5545037202,0.7518781771
Arizona,BYU,-12.5,3.68,-12.94,-1.36,-24.88,-12.36,-12.66,3.68,-20,-13,-25.5,3.68,-12.4,-26.49,-8.96,-14.66,-25.85,-7,-37.9,-17.06,-38.19,,-19.17,,,-0.7,-12.94,-12.54,3.68,-12.32,-27,-9.5,-10,-25.15,-4.39,-13.3,,-13.3,,-10.7,-12.5,-24.59,-24.35,,,,7,-11,-29,,-18,,-12.5,-8,-27.54,-12.81,10.72,24,16,2,-8,40,0.4551030187,0.2220068921
Arkansas,Rice,19.5,19.02,17.82,17.14,-0.86,16.45,8.17,18.82,7,19.25,8.5,18.82,4.91,14.06,12.23,15.6,12.29,8,18.75,18.59,27.94,,7.79,,,0.78,16.56,15.34,19.3,24.38,13,21.5,26,18.31,14.47,24.2,,19.8,,25.8,19.5,23.21,11.5,,,,10,26.1,12,,8.4,,19.5,14.5,16.56,18.24,6.61,17,38,2,21,55,0.4102889692,0.8178512803
Auburn,Akron,37,32.08,37.25,26.82,37.14,36.72,41.79,31.88,20,40.13,28.5,31.88,11.32,52.72,19.49,35.37,38.84,6,53.65,33.12,59.44,,20.29,,,2.18,36.72,36.24,32.36,38.36,47,35.5,45,36.62,25.79,41.5,,42.5,,38.6,37,60,35.25,,,,10,37.6,51,,25,,37,27.5,46.51,47.27,12.91,10,60,2,50,70,0.4682536691,0.9580580583
California,Nevada,3.5,8.56,2.46,9.24,2.78,10.08,3.57,8.36,-2,3.02,-7,8.36,-2.54,8.18,5.95,4.18,3.48,4,5.45,-0.73,-2.06,,-5.96,,,0.66,3.57,9.7,8.84,7.09,7,3,1,2.35,10.44,3.5,,5.5,,3.8,3.5,7.68,2.75,,,,10,0.3,2,,1.4,,3,3.5,5.52,10.87,4.65,22,17,2,-5,39,0.5163954087,0.5997492154
Central Florida,Boise St.,6,1.67,2.24,1.3,3.46,3.44,4.61,1.47,-1,2.12,5,1.47,3.32,3.92,3.43,3.49,5.01,-6,7.55,-0.87,1.19,,-2,,,-0.01,3.32,3.11,1.95,9.86,8,4,5,2.79,3.86,3.9,,6.4,,1.4,5.5,5.56,6.25,,,,3,2.1,7,,3.2,,6,0.5,7.53,7.48,3.12,31,36,2,5,67,0.4383560016,0.5853933814
Charlotte,Duke,-6.5,-8.86,-5.97,-7.28,5.56,-6.82,-0.69,-9.06,5,-6.72,-2,-9.06,0.79,-2.96,-0.83,-3.33,-0.43,-2,4.75,-4.67,-9.25,,3.42,,,-0.35,-4.67,-5.27,-8.58,-4.97,3,-7.5,-9,-0.21,-5.61,-7.3,,-6.1,,-10.5,-6.5,-16,-1.8,,,,-4,-9.9,8,,-3.5,,-6,10.5,3.29,-6.43,5.68,28,31,2,3,59,0.5745736596,0.4217098933
