Home,Road,line,linesag,linemass,linepfz,linelaz,linemoore,linesagr,linewayward,lineargh,linehow,linesagpred,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linepugh,linebihl,linecurry,lineclean,linefei,linemedian,lineharville,linesaggm,linemidweek,linedonchess,lineespn,linetalis,lineopen,linepig,linepiratings,linecons,linecong,linedwig,linepibias,linel2,lineteamrank,linelog,linefluker,linepimean,lineca,linel2hf,linekerns,linekeep,linebig200,linecfp,linestd,vscore,hscore,week,actual,total,phcover,phwin
Hawaii,Stanford,2.5,-1.35,-7.34,13.94,-3.89,-6.36,-1.35,-3.57,,0.5,-1.35,-5.42,0.5,-2.88,-1.23,1,,-1.99,,5.22,-5.48,,-1.39,7,-6,-3.29,-10.8,-1.35,2.5,-5.5,-4.54,-4.63,-2.5,2,-9.4,-2.42,5.07,-3,-6.9,,-1.9,,0.83,-6.4,1.5,,-4.65,-6.01,-7.32,,5.07,20,23,1,3,43,0.373399462,0.431391043
Kansas,Fresno St.,14,12.5,14.99,11.07,11.49,6.79,12.5,12.49,,6,12.5,15.44,11.49,15.99,19.14,-3,,19.09,,19.67,17.82,,17.51,3.5,10.2,15.62,18.22,12.5,12.5,18,16.37,19.62,14.5,18,28.6,17.78,6.16,15,26.4,,15.8,,13.03,23.7,14,,15.1,23.14,20.87,,6.37,7,31,1,24,38,0.546309198,0.825061367
Kansas St.,Iowa St.,3,3.62,1.53,2.99,3.25,6.6,3.62,1.84,,2,3.62,2.24,-2.84,1.13,-2.14,1,,0.42,,-2.78,3.37,,3.06,2,0.9,1.69,0.17,3.62,3,-1.7,2.96,0.07,3.5,2,-1.4,1.09,-10.02,-0.5,0.6,,4.5,,1.23,0.9,3,,-2.35,3.99,-0.1,,3.02,24,21,1,-3,45,0.453938359,0.527873455
Western Kentucky,Sam Houston St.,10,10.48,6.1,-3.34,7.77,10.74,10.48,9.06,,10,10.48,2.32,1.03,4.01,0.56,2,,7.21,,-2.56,6.35,,2.41,-2.5,7.1,3.25,2.54,10.48,10.5,6.5,0.24,1.94,7.5,4,2.7,5.26,-5.01,-1,2.1,,8.8,,10.21,3.8,9.5,,-1.75,1.32,-0.23,,4.57,24,41,1,17,65,0.358458727,0.595892687
Akron,Wyoming,-5.5,-8.12,-7.54,-6.45,-3.7,-0.63,-8.15,-4.16,,-11.5,-8.15,-5.7,3.12,-3.82,-3.46,-8,,-12.08,,-1.5,-6.69,,-1.84,9.5,-4.6,-4.38,-2.19,-8.11,-5.5,-4.9,0.23,1.04,-9.5,-6,0.1,-1.85,-7.1,-1,-2,,-7.1,,-7,-1.6,-5.5,,-10.1,-7.45,5.8,,4.42,10,0,2,-10,10,0.54060167,0.40834123
Arizona,Hawaii,15.5,6.11,17.85,11.32,11.81,9.72,6.11,14.54,,7.5,6.83,15.7,8.15,11.96,7.49,1,,18.46,,8.39,15.71,,7.66,4,9.6,11.93,15.27,5.39,18,14,14.12,12.05,10.5,10,18.2,15.39,4.12,3,15.4,,12.7,,10.3,15.1,15.5,,15.1,15.14,20.59,,4.84,6,40,2,34,46,0.415541577,0.764447779
Baylor,Auburn,-2,-4.71,2.54,-0.24,1.31,7.28,-4.73,3.04,,3.5,-4.73,3.39,9.52,3.31,10.91,-1,,3.61,,4.67,0.63,,0.07,12,3.4,3.39,3.57,-4.7,-2.5,-1.7,0.43,8.15,-2.5,4,6.2,5.05,12.08,1,5.3,,-1.9,,2.4,3,-1,,7.35,7.84,13.02,,4.61,38,24,2,-14,62,0.625988663,0.579357647
Central Florida,Jacksonville St.,20.5,13.77,14.9,4.74,11.72,5.93,13.8,10.4,,8.5,13.8,13.18,0.54,13.9,6.96,-1,,21.14,,9.11,17.77,,10.78,-0.5,11.7,13.8,15.24,13.76,20.5,16,16.24,13.24,16.5,16,32.4,14.98,3.69,1,29.1,,17,,16.4,26.8,19.5,,24.05,17.22,18.72,,7.85,10,17,2,7,27,0.354694679,0.783737721
Charlotte,Appalachian St.,-3,-9.14,-9.66,-0.76,-6.27,-12.03,-9.16,-8.88,,-13,-9.16,-9.54,-1.2,-5.98,-1.31,-7,,-10.49,,-8.83,-6.4,,-7.79,3.5,-8.2,-6.7,-2.18,-9.12,-5,-5.7,-2.96,-2.59,-8.5,-7,-0.3,-5.51,-4.37,-10,-3.3,,-7.3,,-9.8,-1.8,-3.5,,-9.3,-0.85,0.75,,3.92,34,11,2,-23,45,0.427695913,0.357290881
Cincinnati,Nebraska,-6.5,-7.58,-3.54,-9.59,-3.82,0.08,-7.6,-2.62,,-1,-7.6,-3.33,-6.9,-5.02,-6.73,4,,-6.56,,-5,-4.2,,-9.45,-0.5,-2.7,-4.7,-1.61,-7.57,-6.5,-3.3,-4.21,-4.11,-6.5,-10,-5.6,-5.4,-4.31,-12,-6.4,,-6.7,,-6.5,-6.4,-6.5,,-1.4,-0.28,-1.97,,3.28,20,17,2,-3,37,0.536373096,0.378401593
